description,model_input,true_category,pred_category,true_urgency,pred_urgency,true_asta,pred_asta,category_error,urgency_error,asta_error,asta_cita,legislative_target,impact_scope,register,source
"Masyarakat berhak mendapatkan akses kesehatan yang adil dan merata, tanpa diskriminasi","legislative target dpr ri. asta cita misi unknown. impact scope national. register formal.  aspirasi warga: berhak mendapatkan akses kesehatan yang adil dan merata, tanpa diskriminasi",Kesehatan,Sosial,4,4,8,8,True,False,False,Misi Adil,DPR RI,National,formal,booster_v3.2
"Lab biologi di SMP kami sudah rusak, gak bisa digunakan lagi. Siswa-siswi jln ke luar kota untuk mengikuti kompetisi ilmiah.","legislative target dprd provinsi. asta cita misi 4. impact scope community. register informal.  aspirasi warga: lab biologi di smp kami sudah rusak, tidak bisa digunakan lagi. siswa-siswi jalan ke luar kota untuk mengikuti kompetisi ilmiah.",Pendidikan,Pendidikan,1,3,3,3,False,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Provinsi,Community,informal,synthetic_v3.1_asta_urgency
"Tolong siapin kurikulum civic di SD agar siswa lebih paham Pancasila sejak kecil, di Kabupaten Sukabumi, sudah 3 thn siswa SD masih nggak bisa menjelaskan filosofi 5 sila","legislative target dprd kab kota. asta cita misi 1. impact scope regional. register informal.  aspirasi warga: siapin kurikulum civic di sd agar siswa lebih paham pancasila sejak kecil, di kabupaten sukabumi, sudah 3 thn siswa sd masih tidak bisa menjelaskan filosofi 5 sila",Keamanan,Pendidikan,1,1,0,0,True,False,False,"Misi 1: Ideologi, Demokrasi, dan HAM",DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
"Toko kelontong di sini gak ada stok bensin! Warga jalan jauh, uang habis, dan stres. Gak ada solusi dari Pemkot. Ini harus segera diatasi.","legislative target dprd kab kota. asta cita misi 3. impact scope regional. register informal.  aspirasi warga: toko kelontong di sini tidak ada stok bensin! warga jalan jauh, uang habis, dan stres. tidak ada solusi dari pemkot. ini harus segera diatasi.",Infrastruktur,Ekonomi,1,2,2,2,True,True,False,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
"Pengembangan wisata desa di Kecamatan Jatimulyo, Kabupaten Wonosobo, Jawa Tengah, perlu diperhatikan untuk meningkatkan pendapatan masyarakat desa sebelum akhir tahun 2027.","legislative target dprd kab kota. asta cita misi 6. impact scope regional. register formal.  aspirasi warga: wisata desa di kecamatan jatimulyo, kabupaten wonosobo, jawa tengah, perlu diperhatikan untuk meningkatkan pendapatan masyarakat desa sebelum akhir tahun 2027.",Infrastruktur,Ekonomi,1,1,5,5,True,False,False,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Regional,formal,synthetic_v3.1_asta_urgency
"Desa kami di Sukabumi bgt terancam longsor, akses jln ke desa gak ada, butuh infrastruktur darurat sekarang juga!","legislative target dprd kab kota. asta cita misi 6. impact scope national. register informal.  aspirasi warga: desa kami di sukabumi sangat terancam longsor, akses jalan ke desa tidak ada, butuh infrastruktur darurat sekarang juga!",Infrastruktur,Infrastruktur,5,3,5,5,False,True,False,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,National,informal,synthetic_v3.1_asta_urgency
"Saya khawatir, anak-anak kami tidak bisa masuk sekolah krna fasilitas rusak bgt, DPRD harus bantu ya!","legislative target dprd kab kota. asta cita misi 4. impact scope individual. register informal.  aspirasi warga: saya khawatir, anak-anak kami tidak bisa masuk sekolah krna fasilitas rusak bgt, dprd harus bantu ya!",Pendidikan,Pendidikan,4,3,3,3,False,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,Individual,informal,synthetic_v3.1_asta_urgency
"Kondisi jalan yang rusak di Jalan Kertosari, Kecamatan Pucanglaban, Kabupaten Tulungagung, Jawa Timur, telah menyebabkan kesulitan akses angkutan umum ke area tersebut. Hal ini juga telah mempengaruhi aktivitas ekonomi masyarakat.","legislative target dprd kab kota. asta cita misi 3. impact scope regional. register formal.  aspirasi warga: jalan yang rusak di jalan kertosari, kecamatan pucanglaban, kabupaten tulungagung, jawa timur, telah menyebabkan kesulitan akses angkutan umum ke area tersebut. hal ini juga telah mempengaruhi aktivitas ekonomi masyarakat.",Infrastruktur,Infrastruktur,2,3,2,2,False,True,False,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,formal,synthetic_v3.1_asta_urgency
Program BUMDes di Kecamatan Kabupaten ini gak terlalu efektif. Perlu evaluasi keefektifannya agar warga bisa mendapatkan manfaat maksimal.,legislative target dprd kab kota. asta cita misi 6. impact scope individual. register informal.  aspirasi warga: bumdes di kecamatan kabupaten ini tidak terlalu efektif. perlu evaluasi keefektifannya agar warga bisa mendapatkan manfaat maksimal.,Ekonomi,Sosial,1,1,5,5,True,False,False,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Individual,informal,synthetic_v3.1_asta_urgency
"Saya pengin sekolahnya punya fasilitas yang lebih lengkap, seperti perpustakaan dan laboratorium, untuk meningkatkan kualitas pendidikan. Mereka butuh bantuan dari pemerintah untuk memperbarui infrastruktur dan meningkatkan kualitas guru dan murid.","legislative target dprd kab kota. asta cita misi 4. impact scope community. register informal.  aspirasi warga: saya pengin sekolahnya punya fasilitas yang lebih lengkap, seperti perpustakaan dan laboratorium, untuk meningkatkan kualitas pendidikan. mereka butuh bantuan dari pemerintah untuk memperbarui infrastruktur dan meningkatkan kualitas guru dan murid.",Pendidikan,Pendidikan,2,1,3,3,False,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,Community,informal,synthetic_v3.1_asta_urgency
