id,description,category,register,province,urgency,asta_cita,legislative_target,impact_scope,sub_topic,source,cleaned_description,misi_id,model_input,category_label,urgency_label,asta_label
8eaa8aee-52b1-4e1c-b9a6-b9c6011a3d93,"Gak enak, di kota saya ada banyak anak kecil yang terjebak narkoba. Pemerintah daerah harus buat kebijakan untuk melawan narkoba. DPRD Kab/Kota harus ambil tindakan ini",Keamanan,informal,Papua,4,"Misi 7: Reformasi Hukum, Birokrasi, dan Pemberantasan Korupsi/Narkoba",DPRD Kab/Kota,Individual,Peredaran Narkoba,synthetic_v3.1_asta_urgency,"tidak enak, di kota saya ada banyak anak kecil yang terjebak narkoba. pemerintah daerah harus buat kebijakan untuk melawan narkoba. dprd kab/kota harus ambil tindakan ini",7,"legislative target dprd kab kota. asta cita misi 7. impact scope individual. register informal.  aspirasi warga: tidak enak, di kota saya ada banyak anak kecil yang terjebak narkoba. pemerintah daerah harus buat kebijakan untuk melawan narkoba. dprd kab/kota harus ambil tindakan ini",2,3,6
278612cc-8676-44e5-b20d-0e4ab7e9c857,"Saya sangat khawatir! Jika tidak ada tindakan yang cepat, kekerasan HAM akan semakin merajalela dan nyawa warga tidak akan aman lagi! Tolong DPR RI, ambil tindakan segera!",Sosial,informal,Kalimantan Timur,5,"Misi 1: Ideologi, Demokrasi, dan HAM",DPR RI,National,Kekerasan HAM,synthetic_v3.1_asta_urgency,"saya sangat khawatir! jika tidak ada tindakan yang cepat, kekerasan ham akan semakin merajalela dan nyawa warga tidak akan aman lagi! tolong dpr ri, ambil tindakan segera!",1,"legislative target dpr ri. asta cita misi 1. impact scope national. register informal.  aspirasi warga: saya sangat khawatir! jika tidak ada tindakan yang cepat, kekerasan ham akan semakin merajalela dan nyawa warga tidak akan aman lagi! tolong dpr ri, ambil tindakan segera!",6,4,0
6620f503-51b8-4ee7-b388-e7ddd53cbd84,Pembangunan taman kota di area dekat Sungai Brantas harus dilakukan dengan memperhatikan aspek lingkungan dan budaya lokal. Masyarakat harus terlibat dalam proses perancangan untuk memastikan hasil akhir yang sesuai dengan kebutuhan mereka.,Lingkungan,formal,Sumatera Utara,1,Misi 8: Penyelarasan Kehidupan yang Harmonis dengan Alam dan Budaya,DPRD Kab/Kota,National,Pembangunan Lingkungan dan Budaya Lokal,synthetic_v3.1_asta_urgency,taman kota di area dekat sungai brantas harus dilakukan dengan memperhatikan aspek lingkungan dan budaya lokal. masyarakat harus terlibat dalam proses perancangan untuk memastikan hasil akhir yang sesuai dengan kebutuhan mereka.,8,legislative target dprd kab kota. asta cita misi 8. impact scope national. register formal.  aspirasi warga: taman kota di area dekat sungai brantas harus dilakukan dengan memperhatikan aspek lingkungan dan budaya lokal. masyarakat harus terlibat dalam proses perancangan untuk memastikan hasil akhir yang sesuai dengan kebutuhan mereka.,4,0,7
4c4b4b65-5f92-45a1-aa2a-5ce41e53e7b7,"Saya khawatir pasangannya saya terinfeksi penyakit menular di Kabupaten Banyuwangi, karena fasilitas kesehatan di sana gak siap menangani kasus-kasus yang sedang meningkat. Mereka harus segera menambah fasilitas kesehatan!",Kesehatan,informal,Sumatera Utara,4,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,Community,Kualitas Layanan Kesehatan di Kabupaten Banyuwangi,synthetic_v3.1_asta_urgency,"saya khawatir pasangannya saya terinfeksi penyakit menular di kabupaten banyuwangi, karena fasilitas kesehatan di sana tidak siap menangani kasus-kasus yang sedang meningkat. mereka harus segera menambah fasilitas kesehatan!",4,"legislative target dprd kab kota. asta cita misi 4. impact scope community. register informal.  aspirasi warga: saya khawatir pasangannya saya terinfeksi penyakit menular di kabupaten banyuwangi, karena fasilitas kesehatan di sana tidak siap menangani kasus-kasus yang sedang meningkat. mereka harus segera menambah fasilitas kesehatan!",3,3,3
c20ca69b-6e74-4cd7-9a8c-dc1084a3b27e,"Buat aku, DPR RI harus mengevaluasi sistem birokrasi di pemerintahan, karena aku sudah 2 kali harus menghadapi masalah sama di 2 Kecamatan berbeda, ini kan sistem yang gagal!",Keamanan,informal,Kalimantan Timur,2,"Misi 7: Reformasi Hukum, Birokrasi, dan Pemberantasan Korupsi/Narkoba",DPR RI,Community,Sistem birokrasi yang gagal,synthetic_v3.1_asta_urgency,"buat aku, dpr ri harus mengevaluasi sistem birokrasi di pemerintahan, karena aku sudah 2 kali harus menghadapi masalah sama di 2 kecamatan berbeda, ini kan sistem yang gagal!",7,"legislative target dpr ri. asta cita misi 7. impact scope community. register informal.  aspirasi warga: buat aku, dpr ri harus mengevaluasi sistem birokrasi di pemerintahan, karena aku sudah 2 kali harus menghadapi masalah sama di 2 kecamatan berbeda, ini kan sistem yang gagal!",2,1,6
6e388097-421d-44d6-9f0a-86ae6c3f68d1,Menyediakan fasilitas kesehatan yang memadai di daerah bencana untuk mengatasi darurat kesehatan,Kesehatan,formal,Jawa Barat,5,Misi Kesehatan Bencana,DPR RI,National,Kesehatan Bencana,booster_v3.2,fasilitas kesehatan yang memadai di daerah bencana untuk mengatasi darurat kesehatan,0,legislative target dpr ri. asta cita misi unknown. impact scope national. register formal.  aspirasi warga: fasilitas kesehatan yang memadai di daerah bencana untuk mengatasi darurat kesehatan,3,4,8
e57213a9-2a99-4fe9-b303-23f224e53c64,NYAWA TERANCAM: Meningkatkan ketersediaan darah dan komponen darah untuk pasien yang membutuhkan transfusi darah,Kesehatan,informal,Jawa Barat,5,Misi Darah,DPR RI,National,Transfusi Darah,booster_v3.2,nyawa terancam meningkatkan ketersediaan darah dan komponen darah untuk pasien yang membutuhkan transfusi darah,0,legislative target dpr ri. asta cita misi unknown. impact scope national. register informal.  aspirasi warga: nyawa terancam meningkatkan ketersediaan darah dan komponen darah untuk pasien yang membutuhkan transfusi darah,3,4,8
09172256-bd0d-4d01-b41c-4ddd72fddd3f,Saya jadi terganggu krn ada wabah penyakit menular di sekitar kami. Saya pinta ada program vaksin gratis bagi masyarakat.,Pendidikan,informal,Kalimantan Timur,5,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPR RI,Individual,Vaksinasi dan Pencegahan Penyakit Menular,synthetic_v3.1_asta_urgency,saya jadi terganggu karena ada wabah penyakit menular di sekitar kami. saya pinta ada program vaksin gratis bagi masyarakat.,4,legislative target dpr ri. asta cita misi 4. impact scope individual. register informal.  aspirasi warga: saya jadi terganggu karena ada wabah penyakit menular di sekitar kami. saya pinta ada program vaksin gratis bagi masyarakat.,5,4,3
97f7adf6-85d2-4ace-ad87-4602e0b7a09a,"Fasilitas kantor pos di daerah kami mulai jumbl alias tutup. Ini sangat bgt, banyak warga yg gak bisa menerima surat secara langsung. DPR RI harus melihat kasus ini!",Infrastruktur,informal,Kalimantan Timur,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPR RI,Community,Pengembangan Pelayanan Pos di Wilayah Pedesaan,synthetic_v3.1_asta_urgency,"kantor pos di daerah kami mulai jumbl alias tutup. ini sangat bgt, banyak warga yang tidak bisa menerima surat secara langsung. dpr ri harus melihat kasus ini!",3,"legislative target dpr ri. asta cita misi 3. impact scope community. register informal.  aspirasi warga: kantor pos di daerah kami mulai jumbl alias tutup. ini sangat bgt, banyak warga yang tidak bisa menerima surat secara langsung. dpr ri harus melihat kasus ini!",1,0,2
7d1dc1ae-f7db-44d1-b770-3b6c5d851908,"Desa kami sebelumnya tidak bisa terhubung ke bank karena jalan aspal rusak, sekarang kami hanya bisa transfer uang melalui mesin ATM yang terbatas, sangat sulit untuk warga miskin kami! - Kab. Jambi",Sosial,informal,Sumatera Utara,4,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Regional,Akses Keuangan: Jalur Pengiriman Uang,synthetic_v3.1_asta_urgency,"desa kami sebelumnya tidak bisa terhubung ke bank karena jalan aspal rusak, sekarang kami hanya bisa transfer uang melalui mesin atm yang terbatas, sangat sulit untuk warga miskin kami! - kab. jambi",6,"legislative target dprd kab kota. asta cita misi 6. impact scope regional. register informal.  aspirasi warga: desa kami sebelumnya tidak bisa terhubung ke bank karena jalan aspal rusak, sekarang kami hanya bisa transfer uang melalui mesin atm yang terbatas, sangat sulit untuk warga miskin kami! - kab. jambi",6,3,5
60fd3c93-2867-4969-adad-e7bf602f1708,"Perlindungan hak-hak pasien dalam mendapatkan pelayanan kesehatan yang adil dan berkualitas, termasuk akses ke informasi kesehatan yang akurat dan jaminan privasi.",Kesehatan,informal,Papua,4,Misi Hak Pasien,DPR RI,National,Hak Pasien,booster_v3.2,"hak-hak pasien dalam mendapatkan pelayanan kesehatan yang adil dan berkualitas, termasuk akses ke informasi kesehatan yang akurat dan jaminan privasi.",0,"legislative target dpr ri. asta cita misi unknown. impact scope national. register informal.  aspirasi warga: hak-hak pasien dalam mendapatkan pelayanan kesehatan yang adil dan berkualitas, termasuk akses ke informasi kesehatan yang akurat dan jaminan privasi.",3,3,8
fb8ca2d0-7143-449f-8022-c8095ea2404e,"Perlu dibangun akses jalan ke desa pinggiran supaya warga bisa ke pasar dengan mudah, sementara ini harus berjalan jauh bgt",Infrastruktur,informal,Papua,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,Pengembangan Infrastruktur,synthetic_v3.1_asta_urgency,"perlu dibangun akses jalan ke desa pinggiran supaya warga bisa ke pasar dengan mudah, sementara ini harus berjalan jauh sangat",3,"legislative target dprd kab kota. asta cita misi 3. impact scope regional. register informal.  aspirasi warga: perlu dibangun akses jalan ke desa pinggiran supaya warga bisa ke pasar dengan mudah, sementara ini harus berjalan jauh sangat",1,0,2
15e79588-c316-4f9c-859a-4ac6a49708f8,Meningkatkan kesadaran dan edukasi kesehatan tentang penyakit tidak menular untuk mencegah penyebarannya,Kesehatan,informal,Kalimantan Timur,4,Misi Edukasi,DPRD,Regional,Penyakit Tidak Menular,booster_v3.2,kesadaran dan edukasi kesehatan tentang penyakit tidak menular untuk mencegah penyebarannya,0,legislative target dprd. asta cita misi unknown. impact scope regional. register informal.  aspirasi warga: kesadaran dan edukasi kesehatan tentang penyakit tidak menular untuk mencegah penyebarannya,3,3,8
97946279-71ab-4d69-8fdc-f465da307aab,Saya jadi ragu membeli rumah di kawasan alih fungsi lahan! Pemerintah harus atur skema konversi lahan ini!,Lingkungan,informal,Papua,3,Misi 8: Penyelarasan Kehidupan yang Harmonis dengan Alam dan Budaya,DPRD Kab/Kota,Community,Pengelolaan Lahan dan Kawasan,synthetic_v3.1_asta_urgency,saya jadi ragu membeli rumah di kawasan alih fungsi lahan! pemerintah harus atur skema konversi lahan ini!,8,legislative target dprd kab kota. asta cita misi 8. impact scope community. register informal.  aspirasi warga: saya jadi ragu membeli rumah di kawasan alih fungsi lahan! pemerintah harus atur skema konversi lahan ini!,4,2,7
a3e72790-daa6-4425-8537-e842e1a617f5,"Kurangnya akses internet di desa membatasi kemampuan siswa untuk download materi belajar online. ini menyebabkan mereka tertinggal dari teman-teman yang berada di kota. ini terkait Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan.",Pendidikan,informal,NTT,3,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,Regional,Teknologi,synthetic_v3.1_asta_urgency,"akses internet di desa membatasi kemampuan siswa untuk download materi belajar online. ini menyebabkan mereka tertinggal dari teman-teman yang berada di kota. ini terkait misi 4 sdm, sains, teknologi, pendidikan, kesehatan.",4,"legislative target dprd kab kota. asta cita misi 4. impact scope regional. register informal.  aspirasi warga: akses internet di desa membatasi kemampuan siswa untuk download materi belajar online. ini menyebabkan mereka tertinggal dari teman-teman yang berada di kota. ini terkait misi 4 sdm, sains, teknologi, pendidikan, kesehatan.",5,2,3
d24a47fd-1a60-4ec5-a8de-909a1e677e84,"Bencana tanah longsor di Desa Cisauk, Kabupaten Tangerang, telah mengakibatkan kerusakan infrastruktur dan harta benda masyarakat lokal selama 3 tahun terakhir. Perubahan iklim telah menyebabkan tanah longsor dan banjir yang mempengaruhi 2 desa. Kebijakan yang lebih berpihak pada kehidupan masyarakat lokal diperlukan untuk menghentikan kehancuran dan mengembalikan keharmonisan alam dan budaya.",Lingkungan,formal,NTT,4,Misi 8: Penyelarasan Kehidupan yang Harmonis dengan Alam dan Budaya,DPRD Kab/Kota,Community,Pengelolaan Bencana dan Kebencanaan,synthetic_v3.1_asta_urgency,"tanah longsor di desa cisauk, kabupaten tangerang, telah mengakibatkan kerusakan infrastruktur dan harta benda masyarakat lokal selama 3 tahun terakhir. perubahan iklim telah menyebabkan tanah longsor dan banjir yang mempengaruhi 2 desa. kebijakan yang lebih berpihak pada kehidupan masyarakat lokal diperlukan untuk menghentikan kehancuran dan mengembalikan keharmonisan alam dan budaya.",8,"legislative target dprd kab kota. asta cita misi 8. impact scope community. register formal.  aspirasi warga: tanah longsor di desa cisauk, kabupaten tangerang, telah mengakibatkan kerusakan infrastruktur dan harta benda masyarakat lokal selama 3 tahun terakhir. perubahan iklim telah menyebabkan tanah longsor dan banjir yang mempengaruhi 2 desa. kebijakan yang lebih berpihak pada kehidupan masyarakat lokal diperlukan untuk menghentikan kehancuran dan mengembalikan keharmonisan alam dan budaya.",4,3,7
78888c81-95e1-4b10-8f60-e19ac00f27bc,"Warga kota ini menderita, wabah penyakit lokal jln bertahun-tahun sdh, krna kurangnya pelayanan kesehatan yg ad.",Pendidikan,informal,Jawa Barat,4,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Provinsi,Community,Kesehatan,synthetic_v3.1_asta_urgency,"warga kota ini menderita, wabah penyakit lokal jalan bertahun-tahun sdh, krna kurangnya pelayanan kesehatan yang ad.",4,"legislative target dprd provinsi. asta cita misi 4. impact scope community. register informal.  aspirasi warga: warga kota ini menderita, wabah penyakit lokal jalan bertahun-tahun sdh, krna kurangnya pelayanan kesehatan yang ad.",5,3,3
910e7138-07c4-481b-bd33-cc65761e4ff1,"Krisis air di Bali lagi, aku harus jauh-jauh ke luar provinsi cari air minum, DPRD Provinsi Bali harus lakukan sesuatu sekarang",Ekonomi,informal,Kalimantan Timur,4,"Misi 2: Swasembada Pangan, Energi, Air, Ekonomi Hijau dan Biru",DPRD Provinsi,Individual,Sewasembada Air,synthetic_v3.1_asta_urgency,"air di bali lagi, aku harus jauh-jauh ke luar provinsi cari air minum, dprd provinsi bali harus lakukan sesuatu sekarang",2,"legislative target dprd provinsi. asta cita misi 2. impact scope individual. register informal.  aspirasi warga: air di bali lagi, aku harus jauh-jauh ke luar provinsi cari air minum, dprd provinsi bali harus lakukan sesuatu sekarang",0,3,1
c6943773-a74b-4ca4-8ba4-cde978cb60b2,"Fasilitas tempat parkir di daerah kami sudah bgt, perlu dibangun tempat parkir yang baru untuk mengurangi ketercita-citaan",Infrastruktur,informal,Jawa Barat,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Individual,Pengembangan Infrastruktur,synthetic_v3.1_asta_urgency,"tempat parkir di daerah kami sudah bgt, perlu dibangun tempat parkir yang baru untuk mengurangi ketercita-citaan",3,"legislative target dprd kab kota. asta cita misi 3. impact scope individual. register informal.  aspirasi warga: tempat parkir di daerah kami sudah bgt, perlu dibangun tempat parkir yang baru untuk mengurangi ketercita-citaan",1,0,2
1ec64d77-5f54-4d55-a6cf-7f3666351b91,Mengatasi masalah kemiskinan dengan menyediakan bantuan sosial yang memadai dan meningkatkan kualitas hidup warga Indonesia,Sosial,formal,NTT,5,Misi Kesejahteraan,DPR RI,National,Kemiskinan,booster_v3.2,masalah kemiskinan dengan menyediakan bantuan sosial yang memadai dan meningkatkan kualitas hidup warga indonesia,0,legislative target dpr ri. asta cita misi unknown. impact scope national. register formal.  aspirasi warga: masalah kemiskinan dengan menyediakan bantuan sosial yang memadai dan meningkatkan kualitas hidup warga indonesia,6,4,8
0f8946d3-f8f2-41de-b8e0-bd4a1a7819bf,Mengatasi krisis kekurangan tenaga medis di daerah dengan merekrut lebih banyak dokter dan perawat,Kesehatan,informal,Jawa Barat,5,Misi Kesehatan Indonesia,DPRD,Community,Tenaga Medis,booster_v3.2,krisis kekurangan tenaga medis di daerah dengan merekrut lebih banyak dokter dan perawat,0,legislative target dprd. asta cita misi unknown. impact scope community. register informal.  aspirasi warga: krisis kekurangan tenaga medis di daerah dengan merekrut lebih banyak dokter dan perawat,3,4,8
dac8fdeb-5137-4f4a-a20d-fb6de985fc8c,"Pembangunan infrastruktur di desa kami belum maksimal, belum ada jalan raya yang memadai. Warga kekurangan lapangan kerja. Pemerintah harus segera membangun infrastruktur untuk meningkatkan kualitas hidup kita.",Infrastruktur,informal,Papua,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,National,Pengembangan Infrastruktur di Desa,synthetic_v3.1_asta_urgency,"infrastruktur di desa kami belum maksimal, belum ada jalan raya yang memadai. warga kekurangan lapangan kerja. pemerintah harus segera membangun infrastruktur untuk meningkatkan kualitas hidup kita.",3,"legislative target dprd kab kota. asta cita misi 3. impact scope national. register informal.  aspirasi warga: infrastruktur di desa kami belum maksimal, belum ada jalan raya yang memadai. warga kekurangan lapangan kerja. pemerintah harus segera membangun infrastruktur untuk meningkatkan kualitas hidup kita.",1,0,2
43854afe-061d-4515-9a64-87ebf5528787,"Pemerintah secepatnya memberikan bantuan bencana ke Desa Sukamarga, Jawa Barat yang diserang banjir bandang pada Rabu malam, menimbulkan kerusakan infrastruktur dan kehilangan sumber penghasilan warga, membuat warga tidak sanggup bertahan hidup dengan perekonomian yang sudah lemah.",Ekonomi,formal,Papua,5,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPR RI,National,Pencegahan dan Penanganan Bencana di Desa-Desa Terpencil,synthetic_v3.1_asta_urgency,"secepatnya memberikan bantuan bencana ke desa sukamarga, jawa barat yang diserang banjir bandang pada rabu malam, menimbulkan kerusakan infrastruktur dan kehilangan sumber penghasilan warga, membuat warga tidak sanggup bertahan hidup dengan perekonomian yang sudah lemah.",6,"legislative target dpr ri. asta cita misi 6. impact scope national. register formal.  aspirasi warga: secepatnya memberikan bantuan bencana ke desa sukamarga, jawa barat yang diserang banjir bandang pada rabu malam, menimbulkan kerusakan infrastruktur dan kehilangan sumber penghasilan warga, membuat warga tidak sanggup bertahan hidup dengan perekonomian yang sudah lemah.",0,4,5
74e08fcd-593a-4546-8e6e-130d2e31b803,"Udah lama infra desa di daerah saya bgt rusak, anak-anak gak bisa bermain dengan aman. Harus ada perbaikan dr perpustakaan, lapangan olahraga dan sepeda, tapi apa sih yang pake waktu...!",Sosial,informal,Sumatera Utara,2,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Individual,Infrastruktur Desa,synthetic_v3.1_asta_urgency,"sudah lama infra desa di daerah saya sangat rusak, anak-anak tidak bisa bermain dengan aman. harus ada perbaikan dari perpustakaan, lapangan olahraga dan sepeda, tapi apa sih yang pake waktu!",6,"legislative target dprd kab kota. asta cita misi 6. impact scope individual. register informal.  aspirasi warga: sudah lama infra desa di daerah saya sangat rusak, anak-anak tidak bisa bermain dengan aman. harus ada perbaikan dari perpustakaan, lapangan olahraga dan sepeda, tapi apa sih yang pake waktu!",6,1,5
7cf69b5a-5ede-4f16-88cc-14e3a11b44a8,DARURAT: Mengatasi kelangkaan obat-obatan penting di daerah terpencil dan memastikan pasokan yang stabil,Kesehatan,formal,Kalimantan Timur,5,Misi Obat Merata,DPR RI,Regional,Ketersediaan Obat,booster_v3.2,darurat mengatasi kelangkaan obat-obatan penting di daerah terpencil dan memastikan pasokan yang stabil,0,legislative target dpr ri. asta cita misi unknown. impact scope regional. register formal.  aspirasi warga: darurat mengatasi kelangkaan obat-obatan penting di daerah terpencil dan memastikan pasokan yang stabil,3,4,8
0fd2d963-74e1-4f24-9bbc-7ef44b29b6be,"Golput lagi warga di Sragen gak bisa milih, ini bgt pelanggaran demokrasi, DPR RI tolong ambil tindakan!",Sosial,informal,Papua,5,"Misi 1: Ideologi, Demokrasi, dan HAM",DPR RI,National,Pilangan yang terganggu di Jawa Tengah,synthetic_v3.1_asta_urgency,"lagi warga di sragen tidak bisa milih, ini sangat pelanggaran demokrasi, dpr ri tolong ambil tindakan!",1,"legislative target dpr ri. asta cita misi 1. impact scope national. register informal.  aspirasi warga: lagi warga di sragen tidak bisa milih, ini sangat pelanggaran demokrasi, dpr ri tolong ambil tindakan!",6,4,0
7ffee747-1a0d-496d-b782-624fdc716cc8,"Tolong, DPR RI, kita harus tanggapinya! Banyak pengungsi dari daerah lain yang melarikan diri ke sini karena kekerasan di daerah mereka. Ini bukan hanya masalah keamanan, tapi juga tentang kebebasan dan demokrasi yang dijamin!",Sosial,informal,Sumatera Utara,5,"Misi 1: Ideologi, Demokrasi, dan HAM",DPR RI,National,Kekerasan HAM,synthetic_v3.1_asta_urgency,"tolong, dpr ri, kita harus tanggapinya! banyak pengungsi dari daerah lain yang melarikan diri ke sini karena kekerasan di daerah mereka. ini bukan hanya masalah keamanan, tapi juga tentang kebebasan dan demokrasi yang dijamin!",1,"legislative target dpr ri. asta cita misi 1. impact scope national. register informal.  aspirasi warga: tolong, dpr ri, kita harus tanggapinya! banyak pengungsi dari daerah lain yang melarikan diri ke sini karena kekerasan di daerah mereka. ini bukan hanya masalah keamanan, tapi juga tentang kebebasan dan demokrasi yang dijamin!",6,4,0
9ce51b0b-5b57-42ad-a2fd-e6c8e958494f,"Di desa kami, jln akses utama gak pernah diperbarui sejak 2015 sehingga warga terpaksa berpindah ke daerah lain, ini membawa dampak pada perekonomian warga",Infrastruktur,informal,Papua,5,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Regional,Pembangunan Infrastruktur Jalan,synthetic_v3.1_asta_urgency,"di desa kami, jalan akses utama tidak pernah diperbarui sejak 2015 sehingga warga terpaksa berpindah ke daerah lain, ini membawa dampak pada perekonomian warga",6,"legislative target dprd kab kota. asta cita misi 6. impact scope regional. register informal.  aspirasi warga: di desa kami, jalan akses utama tidak pernah diperbarui sejak 2015 sehingga warga terpaksa berpindah ke daerah lain, ini membawa dampak pada perekonomian warga",1,4,5
