id,description,category,register,province,urgency,asta_cita,legislative_target,impact_scope,sub_topic,source
5388ed07-af46-41f2-9c8e-9823446502f0,butuh jalan tol ke desa,Infrastruktur,informal,Jambi,4,Misi 6,DPRD Kab/Kota,Regional,infrastruktur desa,synthetic_strategic_v2
43ee599e-85d0-4aa4-aeb1-90f7950579ed,perlu wifi di desa,Infrastruktur,informal,Papua,3,Misi 3,DPRD Provinsi,Community,infrastruktur teknologi,synthetic_strategic_v2
d41d8196-34d9-40e2-a96a-c31fecfa8161,desa butuh listrik 24 jam,Infrastruktur,informal,Kalimantan Timur,5,Misi 6,DPRD Kab/Kota,Regional,infrastruktur energi,synthetic_strategic_v2
2bacbe5f-e4fa-4e45-999a-3724654c76ed,"jalan rusak, butuh perbaikan",Infrastruktur,informal,Kalimantan Timur,4,Misi 3,DPRD Provinsi,Regional,infrastruktur jalan,synthetic_strategic_v2
1f1d6524-7919-4245-88a4-cabd79c3afc3,perlukan bandara di daerah,Infrastruktur,informal,Papua,4,Misi 6,DPR RI,Regional,infrastruktur transportasi,synthetic_strategic_v2
7e1ba786-e827-4337-8c9e-211c17b604dd,butuh pelabuhan ikan modern,Infrastruktur,informal,Jawa Timur,4,Misi 3,DPRD Kab/Kota,Community,infrastruktur kelautan,synthetic_strategic_v2
838c2bc6-6fc3-42c2-b177-3172594e421e,desa butuh air bersih,Infrastruktur,informal,NTT,5,Misi 6,DPRD Kab/Kota,Regional,infrastruktur air,synthetic_strategic_v2
491a042f-6be1-4504-926c-098a5a90c38e,butuh jembatan darurat,Infrastruktur,informal,Sumatera Utara,5,Misi 3,DPRD Provinsi,Regional,infrastruktur jembatan,synthetic_strategic_v2
613a7fbb-fd2d-4bb5-9972-4ac675337aff,butuh fasilitas olahraga,Infrastruktur,informal,Kalimantan Timur,3,Misi 6,DPRD Kab/Kota,Community,infrastruktur olahraga,synthetic_strategic_v2
9c29fd66-61cf-45ef-aa5d-f5e967eb9b05,butuh pusat budaya daerah,Infrastruktur,informal,Jawa Barat,3,Misi 6,DPRD Provinsi,National,infrastruktur budaya,synthetic_strategic_v2
154548e1-4d7f-4531-b77f-98d4e0cac775,perbaiki jalan kampung,Infrastruktur,informal,Jawa Barat,4,Misi 6,DPRD Kab/Kota,National,Infrastruktur,synthetic_strategic_v2
1c1b8d29-2d5c-4c07-98b7-403051ef6d0a,bikin lapangan pekerja untuk anak muda,Infrastruktur,informal,Jawa Timur,5,Misi 3,DPR RI,Individual,Infrastruktur,synthetic_strategic_v2
16791ac6-58a6-413e-9265-ae9ffef0b76f,tambah angkutan umum,Infrastruktur,informal,Papua,3,Misi 3,DPRD Provinsi,National,Infrastruktur,synthetic_strategic_v2
d3ccf41e-97ce-4353-b86f-5764bf3f3156,kembangkan pelabuhan perikanan,Infrastruktur,informal,Sumatera Utara,4,Misi 6,DPRD Kab/Kota,National,Infrastruktur,synthetic_strategic_v2
a8f9ae7c-faa6-4c87-83dc-0dfd44f4153c,perluat jaringan internet desa,Infrastruktur,informal,Sumatera Utara,5,Misi 6,DPRD Kab/Kota,Individual,Infrastruktur,synthetic_strategic_v2
eb2170fa-305e-456a-b34a-ec4bf77b071d,bangun pusat bisnis UKM,Infrastruktur,informal,Papua,4,Misi 3,DPRD Provinsi,Regional,Infrastruktur,synthetic_strategic_v2
4d1d4854-d76d-438b-8b66-6057e64e9c0e,tambah jalur pejalan kaki,Infrastruktur,informal,Jawa Timur,2,Misi 6,DPRD Kab/Kota,Community,Infrastruktur,synthetic_strategic_v2
a17d0aba-30e2-4653-843a-c76f49c192d6,perbaiki fasilitas olahraga,Infrastruktur,informal,Papua,3,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur,synthetic_strategic_v2
6cfac87a-d928-463e-988c-9425f2143a76,kembangkan energi terbarukan,Infrastruktur,informal,Kalimantan Timur,5,Misi 3,DPR RI,Regional,Infrastruktur,synthetic_strategic_v2
51ddf582-893b-4570-9d9c-312abd95d76b,bikin akses jalan ke bandara,Infrastruktur,informal,Kalimantan Timur,4,Misi 3,DPRD Provinsi,Regional,Infrastruktur,synthetic_strategic_v2
a41439e8-eef6-4f1f-a083-57de794c57e7,perlu jalan tol baru,Infrastruktur,informal,Sumatera Utara,4,Misi 3,DPR RI,National,infrastruktur jalan,synthetic_strategic_v2
