id,description,category,register,province,urgency,asta_cita,legislative_target,impact_scope,sub_topic,source
fb8ca2d0-7143-449f-8022-c8095ea2404e,"Perlu dibangun akses jalan ke desa pinggiran supaya warga bisa ke pasar dengan mudah, sementara ini harus berjalan jauh bgt",Infrastruktur,informal,Papua,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,Pengembangan Infrastruktur,synthetic_v3.1_asta_urgency
c6943773-a74b-4ca4-8ba4-cde978cb60b2,"Fasilitas tempat parkir di daerah kami sudah bgt, perlu dibangun tempat parkir yang baru untuk mengurangi ketercita-citaan",Infrastruktur,informal,Jawa Barat,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Individual,Pengembangan Infrastruktur,synthetic_v3.1_asta_urgency
b5473517-82e1-4193-9464-443456e9106e,"Rute bus antar kota di sekitar kami jalan jln, perlu dibangun rute yang lebih efisien untuk mengurangi waktu tempuh",Infrastruktur,informal,NTT,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Provinsi,Individual,Pengembangan Infrastruktur,synthetic_v3.1_asta_urgency
61bdc832-00d4-4eaf-a260-5d1bbe1a50b3,Warga kami sangat butuhkan pengembangan UMKM karena kebanyakan orang sini kerja sebagai buruh kasar,Infrastruktur,informal,Sumatera Utara,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,Pengembangan UMKM,synthetic_v3.1_asta_urgency
1ad2b752-15c8-4cb2-aaee-c3d6969e27b7,Kami sangat butuhkan penambahan tempat olahraga karena kebanyakan warga kami gemuk gak bisa olahraga karena tidak punya tempat,Infrastruktur,informal,NTT,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Individual,Pengembangan Infrastruktur,synthetic_v3.1_asta_urgency
9ee7a185-a966-4318-98db-d2f298d77014,Pengembangan fasilitas umum di sekitar kami sangat diperlukan karena saat ini kami harus kecamatan lain untuk kegiatan umum yg sangat jauh,Infrastruktur,informal,NTT,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Provinsi,Community,Pengembangan Infrastruktur,synthetic_v3.1_asta_urgency
dac8fdeb-5137-4f4a-a20d-fb6de985fc8c,"Pembangunan infrastruktur di desa kami belum maksimal, belum ada jalan raya yang memadai. Warga kekurangan lapangan kerja. Pemerintah harus segera membangun infrastruktur untuk meningkatkan kualitas hidup kita.",Infrastruktur,informal,Papua,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,National,Pengembangan Infrastruktur di Desa,synthetic_v3.1_asta_urgency
9d0a2944-d076-4766-851c-3b4115a4b037,"Pasar tradisional di kota kami butuh perbaikan, infrastruktur yang ada sudah tidak memadai. Warga kesulitan menjual produk UMKM mereka. Pemerintah harus membangun pasar yang modern dan memadai.",Infrastruktur,informal,Kalimantan Timur,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Provinsi,Individual,Pengembangan Pasar Tradisional,synthetic_v3.1_asta_urgency
54dbff31-02a9-4f8d-aedd-da79c2fe1c37,Rasio antara jumlah warga dan lapangan kerja di kota kami tidak seimbang. Pemerintah harus meningkatkan kualitas infrastruktur untuk meningkatkan kesejahteraan warga.,Infrastruktur,informal,Jawa Barat,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPR RI,National,Beban Penduduk dan Lapangan Kerja,synthetic_v3.1_asta_urgency
87c00dc8-cc22-400d-b6fd-f9f8e9689fec,Kita butuh jalan raya yang memadai untuk meningkatkan kualitas hidup warga. Pemerintah harus segera membangun jalan raya dan meningkatkan infrastruktur di desa kami.,Infrastruktur,informal,NTT,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Community,Pengembangan Jalan Raya,synthetic_v3.1_asta_urgency
a6b80b49-a923-49dd-a8c1-d3fe34fbe243,UMKM di kota kami masih kesulitan mendapatkan modal. Pemerintah harus meningkatkan kualitas infrastruktur untuk meningkatkan kesejahteraan UMKM.,Infrastruktur,informal,Kalimantan Timur,1,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Provinsi,Regional,Pengembangan UMKM,synthetic_v3.1_asta_urgency
